ticketid,person,age,seat,team,eventType,date,gate,products
61,Bethel Romy,32,A18,null,null,25-Jan,A,"[Softdrink,Book]"
103,Moreen Caren,29,A18,null,null,20-Feb,A,"[Softdrink,Hotdog]"
240,Ty Jenessa,33,A18,null,null,2-Feb,A,"[Softdrink,Hotdog]"
303,Bethel Romy,32,A18,null,null,8-Feb,A,"[Book,Beer]"
262,Karter Eppie,32,A18,null,null,4-Feb,A,[Book]
164,Lorraine Alyse,34,A18,null,null,11-Feb,A,"[Softdrink,Hotdog]"
347,Carey Dakota,21,A18,null,null,12-Feb,A,"[Hotdog,Beer]"
151,Kade Fae,21,A18,null,null,25-Feb,A,"[Hotdog,Beer]"
458,Ferdinand Dwain,34,A18,null,null,22-Feb,A,"[Softdrink,Hotdog]"
190,Ibrahim Gerarda,29,A18,null,null,7-Feb,A,"[Softdrink,Hotdog,Beer]"
318,Carey Dakota,21,A18,null,null,9-Feb,A,[Hotdog]
293,Gertrude Jezza,20,A18,null,null,7-Feb,A,"[Softdrink,Book,Beer]"
19,Gertie Cierra,33,A18,null,null,21-Jan,A,"[Hotdog,Book]"
359,Suz Sophie,27,A18,null,null,13-Feb,A,"[Softdrink,Hotdog,Book]"
411,Tad Kathryn,29,A18,null,null,17-Feb,A,"[Softdrink,Book,Beer]"
205,Kristins Vin,26,A18,null,null,5-Feb,A,"[Softdrink,Hotdog]"
198,Gertrude Jezza,20,A18,null,null,5-Feb,A,"[Hotdog,Book]"
216,Gertie Cierra,33,A18,null,null,10-Feb,A,"[Softdrink,Hotdog,Beer]"
383,Ferdinand Dwain,34,A18,null,null,15-Feb,A,"[Softdrink,Hotdog]"
125,Crew Susanna,20,A18,null,null,22-Feb,A,"[Hotdog,Book]"
422,Ty Jenessa,33,A18,null,null,18-Feb,A,[Softdrink]
28,Moreen Caren,29,A18,null,null,22-Jan,A,"[Softdrink,Hotdog,Book,Beer]"
371,Roseanne Winfield,23,A18,null,null,14-Feb,A,[Softdrink]
113,Connell Sela,37,A18,null,null,21-Feb,A,[Softdrink]
398,Lexi Kester,32,A18,null,null,16-Feb,A,[]
84,Kristins Vin,26,A18,null,null,19-Feb,A,"[Hotdog,Book,Beer]"
228,Ogden Terrance,26,A18,null,null,1-Feb,A,"[Hotdog,Beer]"
178,Praise Karina,39,A18,null,null,23-Feb,A,"[Softdrink,Beer]"
466,Byrne Oralie,18,A18,null,null,23-Feb,A,[Beer]
282,Carey Dakota,21,A18,null,null,6-Feb,A,"[Softdrink,Hotdog]"
328,Carey Dakota,21,A18,null,null,10-Feb,A,[Book]
163,Jeane Rosalie,32,A18,null,null,11-Feb,A,[Book]
434,Marcy Ruthie,21,A18,null,null,19-Feb,A,[Softdrink]
138,Bethel Romy,32,A18,null,null,24-Feb,A,"[Softdrink,Book,Beer]"
73,Connell Sela,37,A18,null,null,20-Jan,A,"[Book,Beer]"
40,Pece Ravi,30,A18,null,null,23-Jan,A,"[Hotdog,Book,Beer]"
101,Rebekah Sharlene,40,A18,null,null,20-Feb,A,[Softdrink]
248,Rebekah Sharlene,40,A18,null,null,3-Feb,A,[Softdrink]
3,Connell Sela,37,A18,null,null,19-Jan,A,"[Softdrink,Hotdog,Beer]"
116,Ogden Terrance,26,A18,null,null,21-Feb,A,"[Hotdog,Beer]"
50,Baxter Georgene,24,A18,null,null,24-Jan,A,"[Hotdog,Beer]"
12,Lexi Kester,32,A3,null,null,21-Jan,A,[Book]
221,Bethel Romy,32,A3,null,null,1-Feb,A,"[Softdrink,Hotdog]"
298,Mikayla Nevil,24,A3,null,null,8-Feb,A,"[Hotdog,Beer]"
197,Connie Nadia,32,A3,null,null,5-Feb,A,"[Hotdog,Beer]"
244,Debbi Carley,35,A3,null,null,3-Feb,A,"[Softdrink,Hotdog]"
353,Byrne Oralie,18,A3,null,null,13-Feb,A,[Beer]
211,Lexi Kester,32,A3,null,null,10-Feb,A,[Softdrink]
25,Rebekah Sharlene,40,A3,null,null,22-Jan,A,"[Hotdog,Book]"
366,Dennis Roseanne,38,A3,null,null,14-Feb,A,[Beer]
233,Pece Ravi,30,A3,null,null,2-Feb,A,[Hotdog]
312,Sinclair Blythe,30,A3,null,null,9-Feb,A,"[Softdrink,Hotdog,Book]"
278,Dennis Roseanne,38,A3,null,null,6-Feb,A,"[Softdrink,Hotdog,Book]"
122,Moreen Caren,29,A3,null,null,22-Feb,A,"[Softdrink,Beer]"
323,Praise Karina,39,A3,null,null,10-Feb,A,"[Softdrink,Book,Beer]"
0,Roseanne Winfield,23,A3,null,null,19-Jan,A,"[Softdrink,Hotdog]"
179,Moreen Caren,29,A3,null,null,23-Feb,A,"[Softdrink,Hotdog]"
403,Rodger Dorine,21,A3,null,null,17-Feb,A,"[Softdrink,Book]"
111,Rebekah Sharlene,40,A3,null,null,21-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
185,Roseanne Winfield,23,A3,null,null,7-Feb,A,"[Softdrink,Hotdog,Beer]"
289,Humphrey Tamela,20,A3,null,null,7-Feb,A,"[Softdrink,Hotdog]"
341,Kristins Vin,26,A3,null,null,12-Feb,A,"[Softdrink,Hotdog,Book]"
416,Humphrey Tamela,20,A3,null,null,18-Feb,A,[]
257,Roseanne Winfield,23,A3,null,null,4-Feb,A,"[Softdrink,Hotdog]"
431,Praise Karina,39,A3,null,null,19-Feb,A,"[Softdrink,Hotdog,Book,Beer]"
56,Praise Karina,39,A3,null,null,25-Jan,A,"[Softdrink,Hotdog]"
378,Pece Ravi,30,A3,null,null,15-Feb,A,"[Softdrink,Hotdog,Beer]"
36,Charis June,32,A3,null,null,23-Jan,A,"[Softdrink,Beer]"
95,Justina Marisa,38,A3,null,null,20-Feb,A,"[Softdrink,Hotdog]"
