ticketid,person,age,seat,team,eventType,date,gate,products,target,Softdrink,Beer,Hotdog,Book
61,Bethel Romy,32,A18,,,25-Jan,A,"[Softdrink,Book]",False,True,False,False,True
103,Moreen Caren,29,A18,,,20-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
240,Ty Jenessa,33,A18,,,2-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
303,Bethel Romy,32,A18,,,8-Feb,A,"[Book,Beer]",False,False,True,False,True
262,Karter Eppie,32,A18,,,4-Feb,A,[Book],False,False,False,False,True
164,Lorraine Alyse,34,A18,,,11-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
347,Carey Dakota,21,A18,,,12-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
151,Kade Fae,21,A18,,,25-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
458,Ferdinand Dwain,34,A18,,,22-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
190,Ibrahim Gerarda,29,A18,,,7-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
318,Carey Dakota,21,A18,,,9-Feb,A,[Hotdog],False,False,False,True,False
293,Gertrude Jezza,20,A18,,,7-Feb,A,"[Softdrink,Book,Beer]",False,True,True,False,True
19,Gertie Cierra,33,A18,,,21-Jan,A,"[Hotdog,Book]",False,False,False,True,True
359,Suz Sophie,27,A18,,,13-Feb,A,"[Softdrink,Hotdog,Book]",False,True,False,True,True
411,Tad Kathryn,29,A18,,,17-Feb,A,"[Softdrink,Book,Beer]",False,True,True,False,True
205,Kristins Vin,26,A18,,,5-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
198,Gertrude Jezza,20,A18,,,5-Feb,A,"[Hotdog,Book]",False,False,False,True,True
216,Gertie Cierra,33,A18,,,10-Feb,A,"[Softdrink,Hotdog,Beer]",False,True,True,True,False
383,Ferdinand Dwain,34,A18,,,15-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
125,Crew Susanna,20,A18,,,22-Feb,A,"[Hotdog,Book]",False,False,False,True,True
422,Ty Jenessa,33,A18,,,18-Feb,A,[Softdrink],False,True,False,False,False
28,Moreen Caren,29,A18,,,22-Jan,A,"[Softdrink,Hotdog,Book,Beer]",False,True,True,True,True
371,Roseanne Winfield,23,A18,,,14-Feb,A,[Softdrink],False,True,False,False,False
113,Connell Sela,37,A18,,,21-Feb,A,[Softdrink],False,True,False,False,False
398,Lexi Kester,32,A18,,,16-Feb,A,[],False,False,False,False,False
84,Kristins Vin,26,A18,,,19-Feb,A,"[Hotdog,Book,Beer]",False,False,True,True,True
228,Ogden Terrance,26,A18,,,1-Feb,A,"[Hotdog,Beer]",False,False,True,True,False
178,Praise Karina,39,A18,,,23-Feb,A,"[Softdrink,Beer]",False,True,True,False,False
466,Byrne Oralie,18,A18,,,23-Feb,A,[Beer],False,False,True,False,False
282,Carey Dakota,21,A18,,,6-Feb,A,"[Softdrink,Hotdog]",False,True,False,True,False
328,Carey Dakota,21,A18,,,10-Feb,A,[Book],False,False,False,False,True
163,Jeane Rosalie,32,A18,,,11-Feb,A,[Book],False,False,False,False,True
434,Marcy Ruthie,21,A18,,,19-Feb,A,[Softdrink],False,True,False,False,False
